store_type,duration,bytes_memory,bytes_in_storage,num_events,num_slices,schema,zstd level
feather,6046482,2558456,585698,19585,1,zeek.dce_rpc,-5
feather,3329358,2558456,387842,19585,1,zeek.dce_rpc,1
feather,17271035,2558456,380650,19585,1,zeek.dce_rpc,9
feather,9821571,58080,32690,267,1,zeek.dhcp,-5
feather,3496420,58080,22474,267,1,zeek.dhcp,1
feather,2000478,58080,21378,267,1,zeek.dhcp,9
feather,26402638,58080,18234,267,1,zeek.dhcp,19
feather,39252758,1419022,652994,2575,1,zeek.x509,-5
feather,13801435,1419022,402730,2575,1,zeek.x509,1
feather,17550891,1419022,396282,2575,1,zeek.x509,9
feather,208245640,2558456,341426,19585,1,zeek.dce_rpc,19
feather,17233391,160585,51730,870,1,zeek.dpd,-5
feather,1374207,160585,34538,870,1,zeek.dpd,1
feather,2032186,160585,34066,870,1,zeek.dpd,9
feather,1051678,1043,6986,4,1,zeek.ftp,-5
feather,16409956,160585,30402,870,1,zeek.dpd,19
feather,1198066,1043,6842,4,1,zeek.ftp,1
feather,489381,1043,6826,4,1,zeek.ftp,9
feather,394955,1043,6778,4,1,zeek.ftp,19
feather,15177109,4555983,1696290,21847,1,zeek.files,-5
feather,5452338,4555983,1137834,21847,1,zeek.files,1
feather,20984383,69025,36250,429,1,zeek.ntlm,-5
feather,805485,69025,24410,429,1,zeek.ntlm,1
feather,1333699,69025,24010,429,1,zeek.ntlm,9
feather,39977227,495672,154530,2708,1,zeek.kerberos,-5
feather,3072759,578048,215178,2874,1,zeek.ocsp,-5
feather,10397486,227047,80834,1224,1,zeek.ntp,-5
feather,3116061,495672,101210,2708,1,zeek.kerberos,1
feather,11611895,69025,21298,429,1,zeek.ntlm,19
feather,4872093,227047,54506,1224,1,zeek.ntp,1
feather,7602208,578048,144818,2874,1,zeek.ocsp,1
feather,6180579,495672,97522,2708,1,zeek.kerberos,9
feather,59530692,4555983,1107482,21847,1,zeek.files,9
feather,23642980,227047,52018,1224,1,zeek.ntp,9
feather,21361249,578048,143410,2874,1,zeek.ocsp,9
feather,61705216,495672,89522,2708,1,zeek.kerberos,19
feather,305462678,21532360,8367458,90013,2,zeek.dns,-5
feather,135696090,227047,46466,1224,1,zeek.ntp,19
feather,119404586,42,1874,1,1,zeek.packet_filter,-5
feather,97413224,44034,29930,315,1,zeek.pe,-5
feather,340157283,1419022,367810,2575,1,zeek.x509,19
feather,88445191,168,4978,1,1,zeek.radius,-5
feather,238744918,24548964,5740314,75290,2,zeek.http,-5
feather,41993001,42,1874,1,1,zeek.packet_filter,1
feather,42981053,44034,21386,315,1,zeek.pe,1
feather,21816687,168,4970,1,1,zeek.radius,1
